,Gate-Error Probability
Seed 99,0.00022108867181355667
Seed 23,0.00021998703644178646
Seed 14,0.00022127300320571235
Seed 19,0.0006362887442115577
Seed 2,0.00022169337814551088
Seed 34,0.00022121476433279802
Seed 6,0.00022153092629335216
Seed 18,0.0010516948106807983
Seed 37,0.0002219375370178889
Seed 29,0.0
Seed 28,0.0002218959512160534
Seed 21,0.00022298117523537525
Seed 57,0.00022094555220787522
Seed 63,0.00022254558376626224
Seed 30,0.0
Seed 70,0.00022024487206194303
Seed 72,0.00022237150565302243
Seed 33,0.00022108044804178988
Seed 54,0.0006364767697252314
Seed 49,0.00022137286895302966
Seed 25,0.00022223905722322984
Seed 65,0.00022122892562440334
Seed 53,0.0
Seed 41,0.00021911768805739525
Seed 98,0.0002226916548838434
Seed 32,0.00022319327135971113
Seed 46,0.0010519288206113035
Seed 7,0.00022022693977096283
Seed 4,0.0006360991968168751
Seed 62,0.0
Seed 77,0.0006363799141999118
Seed 24,0.000637252012453198
Seed 51,0.0006368042027653056
Seed 5,0.0006369355624054483
Seed 3,0.0010522099467090826
Seed 17,0.00022080020099854883
Seed 92,0.00022121020707553397
Seed 16,0.0002228411154039752
Seed 96,0.0006368449189634745
Seed 40,0.00022317373833414674
Seed 56,0.0
Seed 48,0.00022255614312857548
Seed 10,0.0006366198471058069
Seed 42,0.0
Seed 78,0.0010522529807716907
Seed 68,0.00022006142623486348
Seed 67,0.0
Seed 61,0.0
Seed 74,0.0010522307041638968
Seed 76,0.0
Seed 87,0.0002208534231582824
Seed 55,0.00022012192375557067
Seed 71,0.00022136452757681206
Seed 58,0.0002195728602305283
Seed 31,0.0
Seed 22,0.0002220753885212604
Seed 52,5.002745530925191e-06
Seed 100,0.000221344045973529
Seed 27,0.00022073194068167445
Seed 69,0.0006366946825770107
Seed 12,0.00021981122115247124
Seed 66,0.0010522498759721565
Seed 39,0.0
Seed 93,0.00022265783475032677
Seed 82,5.003413670922116e-06
Seed 86,0.0
Seed 73,0.0006372429919412401
Seed 13,0.000637294658072728
Seed 85,0.0006369092448129598
Seed 60,0.00022159513014545243
Seed 43,0.0
Seed 59,0.0006362411256572882
Seed 88,0.00022159878272107913
Seed 45,0.000635843430316943
Seed 94,0.0006371399873935357
Seed 36,0.0002207364284349889
Seed 84,0.0
Seed 44,0.0002197166711306225
Seed 80,5.002873577859476e-06
Seed 50,0.00022265544607868892
Seed 47,0.0002232209077927436
Seed 1,0.0
Seed 90,0.0002220592965457879
Seed 79,0.0006362738385354682
Seed 81,0.0006365663311834005
Seed 8,0.00022266805958173853
Seed 64,0.0006366597266955947
Seed 20,0.0002215996517141537
Seed 95,0.0006364616776972048
Seed 15,0.0006363483302029157
Seed 83,5.001362937964358e-06
Seed 9,0.0006372749213072322
Seed 75,0.0006370211493404268
Seed 35,0.0006368615833977268
Seed 38,0.0006370760531956985
Seed 91,0.00022003219082823
Seed 26,0.00022174122647696562
Seed 11,0.0006359073721941786
Seed 89,0.0
Seed 97,0.0
